DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;8364.78970359003;9918.68828847082;7783.086101577582;8531.893;8364.78970359003
2023-12-31;9782.478223341779;9958.807103165169;8935.87375106319;8344.408;9752.058789802337
2024-01-31;7132.678635256321;9179.231112288508;6995.770570070629;6422.306;7092.08702033051
2024-02-29;6979.77185438244;8929.478565814476;8229.198725393167;8218.357;7247.962952735475
2024-03-31;9267.992173702065;9509.885089177826;8973.565003572454;8898.696;9225.675800343637
2024-04-30;9014.102721267831;9878.618266434853;9991.212349609365;10146.635;9370.318664090531
2024-05-31;8017.249871299407;9929.346888964577;8730.11190750641;8666.792;8310.965909439468
2024-06-30;4944.205353943156;7515.306142523942;6680.860337068982;6073.0264;5664.9233941737475
2024-07-31;5347.226642768383;7442.224476162974;5146.755405680838;6388.62;5646.574010024017
2024-08-31;10712.968319811222;9645.50914725001;9143.529655731929;9547.866;9991.003093067502
2024-09-30;8428.294036813635;9808.746291103354;9998.162788283531;10708.433;9488.376952666576
2024-10-31;8393.39882407166;9829.59564388106;9023.322345533774;8640.963;8740.218827919025
