DATA;ESN;MLP;RF;XGBoost;WSB
2023-11-30;6617.525763227867;9281.260960005873;6491.682048211419;6023.794;6617.525763227867
2023-12-31;6836.610298679518;8669.940158461095;7472.78012000397;7610.767;6892.5658039002665
2024-01-31;3653.4140582138084;6524.313707978113;3852.8610890145783;3633.901;3662.932703162613
2024-02-29;6031.548449884303;7756.383074359693;6003.138926845998;5652.2065;5999.192891964691
2024-03-31;9077.933697875622;8835.09066178365;7508.5684194774885;8441.986;8938.467557596781
2024-04-30;6959.934420524156;8833.957296613986;8197.117745321531;6959.3735;7123.480097778199
2024-05-31;5109.7649116216935;8922.190941673625;5426.53484808807;5643.671;5244.769108505579
2024-06-30;3168.103385449032;5988.372073781357;5202.174840955672;6825.553;4516.294407935276
2024-07-31;2894.9358244136747;5416.164228972783;3135.56339178865;3928.741;3164.6097091468414
2024-08-31;5977.431127588186;7490.080667141493;5618.280264867512;5685.4736;5822.432548064672
2024-09-30;4422.974151232192;7037.805989553377;5353.377968638387;4716.376;4746.675412838073
2024-10-31;6767.710948520681;7719.268210781798;6914.375747076058;7025.9565;6885.5212991587405
