;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB-LOCAL RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB-LOCAL MAPE
ASSIS CHATEAUBRIAND;0.3113594251100603;0.1242502322546166;0.29667820908407233;0.38467799561602095;0.26523720044897914;0.25941375823680124;0.06437834203481896;0.21950422308336262;0.2890520172633424;0.18537295433215975
ASTORGA;0.3266825114161114;0.2785156162055502;0.29894805662124396;0.33485840534811767;0.25941505964832073;0.2724328879764476;0.27360814573235265;0.27509023654530396;0.2922904631521332;0.24211597561837972
BARRACÃO;0.10951999462282162;0.15963846740056514;0.13585244257645873;0.272082573917471;0.14025936673300432;0.09675673835909049;0.1585847505491932;0.1358689732838436;0.2695341914013862;0.1398497292222185
CAMPO LARGO;0.3143833947712913;0.28658245453429493;0.17384943780488235;0.3062549120023256;0.250791112781309;0.2753748183624419;0.28482345646267526;0.16998228368722332;0.29703895371442646;0.2369718871348282
CAPANEMA;0.42284255948592325;0.20398395936235428;0.23029147309984876;0.1663049482600829;0.22842583173635853;0.31507292190770414;0.10328004411556425;0.17148174723439233;0.1371426157862691;0.16625906518085087
CASCAVEL;0.28296779278957435;0.1787183003999042;0.24510484158129525;0.2658646135247149;0.2503298033188071;0.25332068384765005;0.16068328394819703;0.17728879890347682;0.20306296889081632;0.18018263343546959
CORONEL VIVIDA;0.29309870236550334;0.2393612784128222;0.1978600567919358;0.21854704347811132;0.20893827183278502;0.2236295016633433;0.23108066300873772;0.1680096038876795;0.20222978175468498;0.19205775637826009
CURITIBA;0.9625085809885827;0.22010133256923523;0.1677837469668532;0.26196852646265534;0.22700809980031322;0.9017343856968459;0.13340421655122478;0.165749418063083;0.24582362678901257;0.18218240768140315
FOZ DO IGUAÇU;0.2222861316027427;0.28549890012471785;0.11838675404844953;0.211319758759072;0.22386108556231066;0.20144100970914672;0.247414057598732;0.11298502668312572;0.20325684273013822;0.20325543608747584
GOIOERÊ;0.3060905046302375;0.18161996443895698;0.11259923189435798;0.2815161774206071;0.1616276801930895;0.2892275438371315;0.14553527433817762;0.09931331772506839;0.19932417409010225;0.13703416721354605
IRATI;0.2366254249999448;0.23765387197776536;0.2101933845568578;0.2199214155303023;0.21867252296120732;0.1854244895652001;0.2321339919280776;0.19043922550442502;0.142679398182265;0.20271914559680893
IVAIPORÃ;0.2989108903971781;0.19278604907608626;0.27204785838651935;0.30093192967408666;0.1947881328445178;0.26378492198221326;0.15353432072671286;0.20243122245606648;0.25165148275767496;0.1461148398072105
JACAREZINHO;0.47611149900551086;0.3326568397680718;0.26031129313485024;0.3248681972200153;0.29439286766879946;0.4799803450641684;0.33526712360215366;0.24176869909517337;0.25925963353270604;0.28799126300778666
JAGUARIAÍVA;0.3471354506276736;0.20978795654699756;0.21822768979208063;0.12170630592206269;0.23186673833747098;0.29770802803981333;0.20632871431862854;0.19412623841294271;0.0902297820230853;0.21742386450456805
LONDRINA - CENTRO;0.28941211045648063;0.14978210580277465;0.14681004921915905;0.2258293369516332;0.1610617505159827;0.28883762839988164;0.1312663972360334;0.13402979975046905;0.19772199479474803;0.14094759978764373
PALMAS;0.2775309829467179;0.24777784706617714;0.1556260126113539;0.22570506383930974;0.22170585515335453;0.27196460003412554;0.24638738710382913;0.15290957634416127;0.2152915195074647;0.21935796611835276
PARANAGUÁ;0.22248456342799716;0.2839250393511463;0.23092512015567454;0.29721702982218223;0.29701354428690063;0.1517619940953946;0.23642069627524817;0.1769945512782964;0.19837715490510063;0.19831105322357936
PARANAVAÍ;0.4877068391088997;0.435698512775903;0.2897281653654812;0.310424378607823;0.31069675185908124;0.37162666887205237;0.39307626872253004;0.24719113333877848;0.22377145038363966;0.2238424318869583
PINHAIS;0.2993067311230606;0.199000336200215;0.08437932416742759;0.10135603178684605;0.1680321598235007;0.270524244596328;0.16542505981265423;0.08267442498114351;0.10079993970831913;0.15925342955905686
PITANGA;0.24850600466785622;0.25264347533443093;0.19423988019707966;0.19183645735797134;0.1869669363645291;0.24065707235729858;0.19208596798461053;0.17758315706266212;0.1831170087714715;0.17091535416394787
QUEDAS DO IGUAÇU;0.23572688924642027;0.11966955008087933;0.14446689233640048;0.23838889215106251;0.16224047298289343;0.2353596516587297;0.0966154090203048;0.13251349274287183;0.19905154478354814;0.1445042993574894
TELÊMACO BORBA;0.43379241424693404;0.23688228046561233;0.235090700649313;0.2782092953470807;0.23229671260391763;0.37862667949135437;0.24005365149273059;0.18440361374132672;0.2137878443931427;0.1817394416710584
UMUARAMA;0.28712692370890347;0.27412147912933477;0.22506187400156832;0.27227859980401037;0.27220613997599863;0.26233332728884545;0.2813123171177619;0.22503160628340116;0.25510752037026047;0.2550709420684341
UNIÃO DA VITÓRIA;0.35055739835216904;0.218304819993508;0.2729156970404133;0.32642043677273136;0.2597476943199594;0.34201756863612043;0.1700351637840337;0.25324921446662524;0.26276785274307435;0.23975683475721177
MÉDIAS;0.3351114050041082;0.23120669455299667;0.20489075800348236;0.25577034689901235;0.22614924132305794;0.297042144569922;0.20344727931104092;0.17877581602312095;0.21384874010120056;0.19388460324144577
MELHOR;2;5;12;2;3;2;7;8;3;4
PIOR;15;3;0;6;0;14;6;0;4;0
SCORE (MELHOR - PIOR);-13;2;12;-4;3;-12;1;8;-1;4
