;ESN RRMSE;MLP RRMSE;RF RRMSE;XGBoost RRMSE;WSB RRMSE;ESN MAPE;MLP MAPE;RF MAPE;XGBoost MAPE;WSB MAPE
ASSIS CHATEAUBRIAND;0.33502069858588046;0.5202797679057822;0.24168060189690146;0.31025226143183;0.3080801449049759;0.3207826446602538;0.41546869626362604;0.20447477930293148;0.21068889991782336;0.23218768370055343
ASTORGA;0.23976530943927996;0.40010878647006826;0.1835622581921044;0.11607973887668176;0.21159710926020506;0.21909822790501568;0.3886577079779969;0.17606326114369827;0.09338339443519504;0.19726808457705158
BARRACÃO;0.14330189849740388;0.25524662223548483;0.15044457766923452;0.1678238979266391;0.15838686327117757;0.12576088102885888;0.24799788563111733;0.1391526731846404;0.1547155627191489;0.14271232953490287
CAMPO LARGO;0.2149252089377772;0.3463737124130363;0.24701248138728668;0.2480210686249196;0.26063081021283435;0.18412601044981414;0.34233231248015256;0.21982779435575225;0.2446641236916899;0.24535549022049472
CAPANEMA;0.3446940578900544;0.4851421581365158;0.2915089132407753;0.27873795597214024;0.30936536319368535;0.3320126348114146;0.38227885926501165;0.2612587190326154;0.17709764399874425;0.2520294004949702
CASCAVEL;0.23324859110662338;0.37036425730463185;0.21397356270726642;0.2549050834822313;0.241625600381295;0.16946122871831024;0.3436518725491508;0.18802846239635482;0.23214811741656816;0.21677130284346982
CORONEL VIVIDA;0.20166512971116177;0.29845048996569;0.20332455373694502;0.22210500621432172;0.21443568365064908;0.16963531166305254;0.2754502369462459;0.17897418064344536;0.1955988762730698;0.18698930652958903
CURITIBA;0.32191316201086334;0.30470998659099463;0.057305791620907535;0.11549579610950948;0.20646480205931242;0.30562714465958085;0.2979172703652169;0.053382526687950994;0.10760247986020988;0.173329990013643
FOZ DO IGUAÇU;0.2373175244792836;0.25221260410104085;0.11168779827216635;0.08963256005373894;0.12475640440809467;0.22508917034642215;0.2359918348413265;0.10268945657862531;0.07507705516596704;0.12300182149217263
GOIOERÊ;0.4658570185805729;0.1427246191986332;0.18572667286978964;0.2630417088328967;0.23148698329638517;0.4381957512545546;0.14076043169969812;0.19328835785624707;0.2629479986721329;0.2261218219158967
IRATI;0.17038354161818484;0.3065553470008107;0.12998069274526913;0.16947241946767694;0.16699021669075909;0.14768792746613943;0.3034597592757616;0.12594772371314342;0.14671151557774262;0.16394140364485668
IVAIPORÃ;0.24713948498051866;0.37323359686322366;0.13132172123861546;0.12018404883869;0.18875861862852733;0.21297496683598352;0.32391756988807024;0.11601047603073046;0.12185802699566954;0.16247662749477362
JACAREZINHO;0.23452574300740614;0.395611519194519;0.14833937608601785;0.16228914781833134;0.18121592537641756;0.18205203280266327;0.3564123915667881;0.12970540990991342;0.13933070611078846;0.15994302059071733
JAGUARIAÍVA;0.20616912511991506;0.34388665318679;0.1811593294340032;0.18124528248041571;0.20168258056749072;0.17449239064724065;0.33463411325525444;0.1643217335529411;0.15498157542640492;0.1855661235426258
LONDRINA - CENTRO;0.1778528087040022;0.27481725165908727;0.10199353431341579;0.10490017167882495;0.12126871532994318;0.16916489513706298;0.20148771580251;0.09192189562280102;0.10685684057918717;0.10954428396414734
PALMAS;0.09639803779427185;0.29575033219890173;0.09654518235010341;0.1306076686041198;0.12375557693695546;0.08993613568033683;0.2941064308862264;0.09100903890053402;0.13043115988329865;0.12303846725194241
PARANAGUÁ;0.22731650169054402;0.37621192521658736;0.14512933264826103;0.1429578669542632;0.1951444027299598;0.1396570733654016;0.3351636538284036;0.11080840434342287;0.12362126711396386;0.14673411174110293
PARANAVAÍ;0.356535272484374;0.44774750161696925;0.3044458049037143;0.3358436130502635;0.339018495488257;0.30461804510850876;0.356345975333531;0.22268275994006492;0.23519419811387254;0.23899440912215117
PINHAIS;0.21438142377582697;0.07438108928239175;0.07016577272037194;0.07604876878037493;0.05529238918620386;0.19682185441061809;0.07215982324956989;0.06096134751325479;0.0757816930129615;0.03829423975791463
PITANGA;0.16956577823376623;0.33057886336750236;0.16632777044505628;0.18152842727409188;0.17246951266355953;0.14503838409521766;0.32705236137797256;0.12374010895182101;0.16364761735837383;0.14176439236388808
QUEDAS DO IGUAÇU;0.19094096109866251;0.2505267735528103;0.13934501966438292;0.13929551895778128;0.14959161813757532;0.18252676823832206;0.22422214022075818;0.139133283107832;0.1330187250418629;0.14972853775106287
TELÊMACO BORBA;0.22414470576743684;0.3136736812540752;0.18300918396524674;0.1903639615822292;0.21311021976820071;0.20133421827396422;0.2784903498965755;0.15220240912443453;0.16605507429816038;0.16457695496303934
UMUARAMA;0.26833431105377836;0.3983167387087983;0.14473985133474768;0.15353589713476073;0.2087048830636233;0.19779181603671991;0.3374396021993336;0.12319320138837701;0.12458539551380765;0.16190111256673936
UNIÃO DA VITÓRIA;0.1355431867569783;0.2455105838487496;0.19725137878712423;0.21967747640183202;0.19743526235940492;0.11795187601649672;0.24192004326222108;0.16521207391655782;0.19063958524978017;0.17846196324443178
MÉDIAS;0.23570581172185692;0.32510061921971223;0.1677492150929045;0.18225188943952353;0.1992195075652288;0.206326557900498;0.2940549599192716;0.14724958654992043;0.15694323051776765;0.17169720330508909
MELHOR;5;1;11;6;1;6;1;11;5;1
PIOR;3;21;0;0;0;3;21;0;0;0
SCORE (MELHOR - PIOR);2;-20;11;6;1;3;-20;11;5;1
